from;r120640428428-biomass_solid;r120640428428-biomass_solid-boiler_heat_high;r120640472472-biomass_solid;r120640472472-biomass_solid-boiler_heat_high;r120670124124-biomass_solid;r120670124124-biomass_solid-boiler_heat_high;r120670201201-biomass_solid;r120670201201-biomass_solid-boiler_heat_high;r120640428428-electricity;r120640428428-electricity-boiler_heat_high;r120640472472-electricity;r120640472472-electricity-boiler_heat_high;r120670124124-electricity;r120670124124-electricity-boiler_heat_high;r120670201201-electricity;r120670201201-electricity-boiler_heat_high;r120640428428-electricity;r120640428428-electricity-electrolyzer;r120640472472-electricity;r120640472472-electricity-electrolyzer;r120670124124-electricity;r120670124124-electricity-electrolyzer;r120670201201-electricity;r120670201201-electricity-electrolyzer;r120640428428-electricity;r120640428428-electricity-heatpump_central;r120640472472-electricity;r120640472472-electricity-heatpump_central;r120670124124-electricity;r120670124124-electricity-heatpump_central;r120670201201-electricity;r120670201201-electricity-heatpump_central;r120640428428-electricity;r120640428428-electricity-heatpump_decentral;r120640472472-electricity;r120640472472-electricity-heatpump_decentral;r120670124124-electricity;r120670124124-electricity-heatpump_decentral;r120670201201-electricity;r120670201201-electricity-heatpump_decentral;r120640428428-electricity;r120640428428-electricity-heatpump_heat_high;r120640472472-electricity;r120640472472-electricity-heatpump_heat_high;r120670124124-electricity;r120670124124-electricity-heatpump_heat_high;r120670201201-electricity;r120670201201-electricity-heatpump_heat_high;r120640428428-h2;r120640428428-h2-boiler_heat_high;r120640472472-h2;r120640472472-h2-boiler_heat_high;r120670124124-h2;r120670124124-h2-boiler_heat_high;r120670201201-h2;r120670201201-h2-boiler_heat_high
to;r120640428428-biomass_solid-boiler_heat_high;r120640428428-heat_high;r120640472472-biomass_solid-boiler_heat_high;r120640472472-heat_high;r120670124124-biomass_solid-boiler_heat_high;r120670124124-heat_high;r120670201201-biomass_solid-boiler_heat_high;r120670201201-heat_high;r120640428428-electricity-boiler_heat_high;r120640428428-heat_high;r120640472472-electricity-boiler_heat_high;r120640472472-heat_high;r120670124124-electricity-boiler_heat_high;r120670124124-heat_high;r120670201201-electricity-boiler_heat_high;r120670201201-heat_high;r120640428428-electricity-electrolyzer;r120640428428-h2;r120640472472-electricity-electrolyzer;r120640472472-h2;r120670124124-electricity-electrolyzer;r120670124124-h2;r120670201201-electricity-electrolyzer;r120670201201-h2;r120640428428-electricity-heatpump_central;r120640428428-heat_low_central;r120640472472-electricity-heatpump_central;r120640472472-heat_low_central;r120670124124-electricity-heatpump_central;r120670124124-heat_low_central;r120670201201-electricity-heatpump_central;r120670201201-heat_low_central;r120640428428-electricity-heatpump_decentral;r120640428428-heat_low_decentral;r120640472472-electricity-heatpump_decentral;r120640472472-heat_low_decentral;r120670124124-electricity-heatpump_decentral;r120670124124-heat_low_decentral;r120670201201-electricity-heatpump_decentral;r120670201201-heat_low_decentral;r120640428428-electricity-heatpump_heat_high;r120640428428-heat_high;r120640472472-electricity-heatpump_heat_high;r120640472472-heat_high;r120670124124-electricity-heatpump_heat_high;r120670124124-heat_high;r120670201201-electricity-heatpump_heat_high;r120670201201-heat_high;r120640428428-h2-boiler_heat_high;r120640428428-heat_high;r120640472472-h2-boiler_heat_high;r120640472472-heat_high;r120670124124-h2-boiler_heat_high;r120670124124-heat_high;r120670201201-h2-boiler_heat_high;r120670201201-heat_high
type;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2019-01-01 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7773116129188644;2.661514962634192;0.0017068483525268224;0.005844248759051839;0.25767550763260305;0.8822809381340329;2.3097310206230426;7.908519014613298;2.327462261534758;7.969230783495011;1.2924054152356967;4.425196141767025;2.2820397594920556;7.813704136500799;0.0;0.0;0.1737002083760549;0.45683154802902437;0.12063880985709378;0.31728006992415664;3.4987595319894056;9.201737569132137;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7971970918315388;2.7144560976863894;0.0017522883049081238;0.0059665416782121615;0.26346182871950796;0.8970875267899245;2.369126233265135;8.066874824267783;2.387004279115069;8.12774957038681;1.32681201054846;4.517794895917506;2.333284889084782;7.944835047333683;0.0;0.0;0.17583599591324148;0.4606903092926927;0.12212216367113171;0.3199600688183651;3.54177967038704;9.279462736414045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8017745169458759;2.740465298921004;0.0017691801761815567;0.006047057842188561;0.26540596180380316;0.9071575774453993;2.3844897582671183;8.150185993757011;2.4007102163885587;8.205627519616094;1.3396023359894573;4.5787607844119655;2.3505026255971373;8.034017974291016;0.0;0.0;0.17761453862527196;0.46357394581195976;0.12335740269626197;0.3219628210372437;3.5776039985495887;9.337546436214426;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8520923771361102;2.929493592593947;0.0018780740825515632;0.006456818695812275;0.2781693229221391;0.9563461322063143;2.6301229188613613;9.042362595045361;2.644848321438844;9.092988529106746;1.4953583796916994;5.141042109380063;2.473135912455547;8.502641267022172;0.0;0.0;0.1751246562315988;0.45707535276447286;0.12162812181937001;0.3174493979485557;3.527451498216737;9.206648410345682;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9806871576010596;3.384351380881257;0.0021749928566101645;0.007505900348161678;0.3139199681719132;1.0833378101612725;3.2713970476577776;11.289591211466991;3.2740198033795305;11.29864234146276;1.8827586655734274;6.497400154893898;3.216545198135796;11.100297478766633;0.0;0.0;0.17758000943357888;0.4617080245273051;0.12333342137447702;0.32066689557364025;3.5769084936927;9.29996208360102;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2791607825574263;4.4067088959103335;0.002888534360763146;0.009951000872829036;0.4007812507462554;1.38069140882085;3.2770946912821457;11.289591211466991;3.279722014938392;11.29864234146276;1.8860377808110012;6.497400154893898;3.2467053349857964;11.184899879026068;0.0;0.0;0.18764477187393544;0.48787640687223216;0.13032363153974227;0.33884144200332994;3.7796381498895943;9.827059189712946;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3524574174222257;4.6862649513680115;0.0031017550357184402;0.010747581198764395;0.42698712293397884;1.4795103809662367;3.2581792818086557;11.289591211466991;3.260791440537593;11.29864234146276;1.875151559853939;6.497400154893898;3.227965333052256;11.184899879026068;0.0;0.0;0.20613515543261826;0.5338900525704813;0.14316563033280863;0.37079898256197436;4.152081029094568;10.753889865354932;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2019-01-01 07:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.05662518761943733;0.048131409476521725;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.296369660527918;4.473771698481845;0.002953682753556542;0.010193159182523627;0.4089781398965166;1.4113835607828789;3.2713970476577776;11.289591211466991;3.2740198033795305;11.29864234146276;1.8827586655734274;6.497400154893898;3.2410605271011494;11.184899879026068;0.018841923007623967;0.04861216135966984;0.22619642792978328;0.5835867840588409;0.15709864780528776;0.4053145113376424;4.537509981572212;11.706775752456307;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
