id_scal;scenario_key;name;var_name;carrier;region;tech;type;var_value;var_unit;source;comment
0;2045_scenario;r120640428428-biomass_gas-bpchp_heat_high;capacity;biomass_gas;r120640428428;bpchp_heat_high;backpressure;0.0;MW;;Zero
1;2045_scenario;r120640472472-biomass_gas-bpchp_heat_high;capacity;biomass_gas;r120640472472;bpchp_heat_high;backpressure;0.0;MW;;Zero
2;2045_scenario;r120670124124-biomass_gas-bpchp_heat_high;capacity;biomass_gas;r120670124124;bpchp_heat_high;backpressure;0.0;MW;;Zero
3;2045_scenario;r120670201201-biomass_gas-bpchp_heat_high;capacity;biomass_gas;r120670201201;bpchp_heat_high;backpressure;0.0;MW;;Zero
4;2045_scenario;;capacity_cost;biomass_gas;ALL;bpchp_heat_high;backpressure;42005.981393227295;;;
5;2045_scenario;;carrier_cost;biomass_gas;ALL;bpchp_heat_high;backpressure;0.0;Eur/MWh;From original raw_cost_eff:;Zero
6;2045_scenario;;electric_efficiency;biomass_gas;ALL;bpchp_heat_high;backpressure;0.3;;"PyPSA: Danish Energy Agency; technology_data_for_el_and_dh.xlsx";
7;2045_scenario;;expandable;biomass_gas;ALL;bpchp_heat_high;backpressure;true;;;
8;2045_scenario;;marginal_cost;biomass_gas;ALL;bpchp_heat_high;backpressure;2.222;EUR/MWh_e;"PyPSA: Danish Energy Agency; technology_data_for_el_and_dh.xlsx";"09c Straw; Large; 40 degree:  Variable O&M"
9;2045_scenario;;thermal_efficiency;biomass_gas;ALL;bpchp_heat_high;backpressure;0.71;;"PyPSA: Danish Energy Agency; technology_data_for_el_and_dh.xlsx";"S.42 Table 12:BHKW (Erdgas;Biomasse)"
10;2045_scenario;r120640428428-biomass_gas-bpchp_heat_low_central;capacity;biomass_gas;r120640428428;bpchp_heat_low_central;backpressure;0.0;MW;;Zero
11;2045_scenario;r120640472472-biomass_gas-bpchp_heat_low_central;capacity;biomass_gas;r120640472472;bpchp_heat_low_central;backpressure;0.0;MW;;Zero
12;2045_scenario;r120670124124-biomass_gas-bpchp_heat_low_central;capacity;biomass_gas;r120670124124;bpchp_heat_low_central;backpressure;0.0;MW;;Zero
13;2045_scenario;r120670201201-biomass_gas-bpchp_heat_low_central;capacity;biomass_gas;r120670201201;bpchp_heat_low_central;backpressure;0.0;MW;;Zero
14;2045_scenario;;capacity_cost;biomass_gas;ALL;bpchp_heat_low_central;backpressure;67629.89840529014;;;
15;2045_scenario;;carrier_cost;biomass_gas;ALL;bpchp_heat_low_central;backpressure;0.0;Eur/MWh;From original raw_cost_eff:;Zero
16;2045_scenario;;electric_efficiency;biomass_gas;ALL;bpchp_heat_low_central;backpressure;0.445;;"Digiplan-Empowerplan: technology_data_for_el_and_dh.xlsx; 06 Gas engines; biogas";"(0;43+((0;45-0;43)*(2045-2030)/(2050-2030)))"
17;2045_scenario;;expandable;biomass_gas;ALL;bpchp_heat_low_central;backpressure;true;;;
18;2045_scenario;;marginal_cost;biomass_gas;ALL;bpchp_heat_low_central;backpressure;6.6138;EUR/MWh;"Digiplan-Empowerplan: technology_data_for_el_and_dh.xlsx; 06 Gas engines; biogas";"(7+((6-7)*(2045-2030)/(2050-2030)))*1;0582"
19;2045_scenario;;thermal_efficiency;biomass_gas;ALL;bpchp_heat_low_central;backpressure;0.4541;;"Digiplan-Empowerplan: technology_data_for_el_and_dh.xlsx; 06 Gas engines; biogas; thermal_efficiency = eletric_effiency/(cb_coefficient+cv_coefficient)";"(0;43+((0;45-0;43)*(2045-2030)/(2050-2030)))/(0;92+((1-0;92)*(2045-2030)/(2050-2030)))"
20;2045_scenario;r120640428428-biomass_gas-bpchp_heat_low_decentral;capacity;biomass_gas;r120640428428;bpchp_heat_low_decentral;backpressure;0.0;MW;;Zero
21;2045_scenario;r120640472472-biomass_gas-bpchp_heat_low_decentral;capacity;biomass_gas;r120640472472;bpchp_heat_low_decentral;backpressure;0.0;MW;;Zero
22;2045_scenario;r120670124124-biomass_gas-bpchp_heat_low_decentral;capacity;biomass_gas;r120670124124;bpchp_heat_low_decentral;backpressure;0.0;MW;;Zero
23;2045_scenario;r120670201201-biomass_gas-bpchp_heat_low_decentral;capacity;biomass_gas;r120670201201;bpchp_heat_low_decentral;backpressure;0.0;MW;;Zero
24;2045_scenario;;capacity_cost;biomass_gas;ALL;bpchp_heat_low_decentral;backpressure;67629.89840529014;;;
